,Unnamed: 0.1,Unnamed: 0,y,number_of_beds,markaze_behdasht,number_of_labs,number_of_active_beds,number_of_employees,number_of_doctors,number_of_pir_doctors,number_of_stuff,number_of_persons_in_hotels,number_of_travels_bus_inside,number_of_travels_bus_outside,number_of_travels_minibus_inside,number_of_travels_minibus_outside,number_of_travels_car_inside,number_of_travels_car_outside,number_of_person_bus_inside,number_of_person_bus_outside,number_of_person_minibus_inside,number_of_person_minibus_outside,number_of_person_car_inside,number_of_person_car_outside,covid,month,season
46,46,1397_11,2756.0,2308.0,85.0,354.0,1896.0,4651.0,658.0,2531.0,1462.0,6852.0,12321.0,60523.0,9053.0,1062.0,2486.0,3184.0,196746.0,914433.0,20403.0,11904.0,2652.0,4675.0,0.0,11,4
47,47,1397_12,2781.0,2308.0,85.0,354.0,1896.0,4651.0,658.0,2531.0,1462.0,6969.0,12321.0,60523.0,9053.0,1062.0,2486.0,3184.0,196746.0,914433.0,20403.0,11904.0,2652.0,4675.0,0.0,12,4
48,48,1398_01,2163.0,2308.0,87.0,372.0,1941.0,4677.0,693.0,2592.0,1392.0,7135.0,11098.0,58883.0,9543.0,911.0,3019.0,2901.0,179258.0,915706.0,21314.0,10565.0,3295.0,5143.0,0.0,1,1
49,49,1398_02,3049.0,2308.0,87.0,372.0,1941.0,4677.0,693.0,2592.0,1392.0,7359.0,11098.0,58883.0,9543.0,911.0,3019.0,2901.0,179258.0,915706.0,21314.0,10565.0,3295.0,5143.0,0.0,2,1
50,50,1398_03,2904.0,2308.0,87.0,372.0,1941.0,4677.0,693.0,2592.0,1392.0,7587.0,11098.0,58883.0,9543.0,911.0,3019.0,2901.0,179258.0,915706.0,21314.0,10565.0,3295.0,5143.0,0.0,3,1
51,51,1398_04,3755.0,2308.0,87.0,372.0,1941.0,4677.0,693.0,2592.0,1392.0,7721.0,11098.0,58883.0,9543.0,911.0,3019.0,2901.0,179258.0,915706.0,21314.0,10565.0,3295.0,5143.0,0.0,4,2
52,52,1398_05,3224.0,2308.0,87.0,372.0,1941.0,4677.0,693.0,2592.0,1392.0,7798.0,11098.0,58883.0,9543.0,911.0,3019.0,2901.0,179258.0,915706.0,21314.0,10565.0,3295.0,5143.0,0.0,5,2
53,53,1398_06,3291.0,2308.0,87.0,372.0,1941.0,4677.0,693.0,2592.0,1392.0,7831.0,11098.0,58883.0,9543.0,911.0,3019.0,2901.0,179258.0,915706.0,21314.0,10565.0,3295.0,5143.0,0.0,6,2
54,54,1398_07,2946.0,2308.0,87.0,372.0,1941.0,4677.0,693.0,2592.0,1392.0,7913.0,11098.0,58883.0,9543.0,911.0,3019.0,2901.0,179258.0,915706.0,21314.0,10565.0,3295.0,5143.0,0.0,7,3
55,55,1398_08,2908.0,2308.0,87.0,372.0,1941.0,4677.0,693.0,2592.0,1392.0,8008.0,11098.0,58883.0,9543.0,911.0,3019.0,2901.0,179258.0,915706.0,21314.0,10565.0,3295.0,5143.0,0.0,8,3
56,56,1398_09,2838.0,2308.0,87.0,372.0,1941.0,4677.0,693.0,2592.0,1392.0,8115.0,11098.0,58883.0,9543.0,911.0,3019.0,2901.0,179258.0,915706.0,21314.0,10565.0,3295.0,5143.0,0.0,9,3
57,57,1398_10,2814.0,2308.0,87.0,372.0,1941.0,4677.0,693.0,2592.0,1392.0,8211.0,11098.0,58883.0,9543.0,911.0,3019.0,2901.0,179258.0,915706.0,21314.0,10565.0,3295.0,5143.0,0.0,10,4
58,58,1398_11,2807.0,2308.0,87.0,372.0,1941.0,4677.0,693.0,2592.0,1392.0,8298.0,11098.0,58883.0,9543.0,911.0,3019.0,2901.0,179258.0,915706.0,21314.0,10565.0,3295.0,5143.0,1.0,11,4
59,59,1398_12,1193.0,2308.0,87.0,372.0,1941.0,4677.0,693.0,2592.0,1392.0,8399.0,11098.0,58883.0,9543.0,911.0,3019.0,2901.0,179258.0,915706.0,21314.0,10565.0,3295.0,5143.0,1.0,12,4
60,60,1399_01,569.0,2313.0,89.0,401.0,1901.0,4791.0,740.0,2714.0,1337.0,8412.0,9307.0,44151.0,9020.0,1278.0,2892.0,2920.0,130409.0,408306.0,13206.0,1664.0,3023.0,3732.0,1.0,1,1
61,61,1399_02,1344.0,2313.0,89.0,401.0,1901.0,4791.0,740.0,2714.0,1337.0,8345.0,9307.0,44151.0,9020.0,1278.0,2892.0,2920.0,130409.0,408306.0,13206.0,1664.0,3023.0,3732.0,1.0,2,1
62,62,1399_03,1925.0,2313.0,89.0,401.0,1901.0,4791.0,740.0,2714.0,1337.0,8516.0,9307.0,44151.0,9020.0,1278.0,2892.0,2920.0,130409.0,408306.0,13206.0,1664.0,3023.0,3732.0,1.0,3,1
63,63,1399_04,2362.0,2313.0,89.0,401.0,1901.0,4791.0,740.0,2714.0,1337.0,8634.0,9307.0,44151.0,9020.0,1278.0,2892.0,2920.0,130409.0,408306.0,13206.0,1664.0,3023.0,3732.0,1.0,4,2
64,64,1399_05,2414.0,2313.0,89.0,401.0,1901.0,4791.0,740.0,2714.0,1337.0,8702.0,9307.0,44151.0,9020.0,1278.0,2892.0,2920.0,130409.0,408306.0,13206.0,1664.0,3023.0,3732.0,1.0,5,2
65,65,1399_06,2684.0,2313.0,89.0,401.0,1901.0,4791.0,740.0,2714.0,1337.0,8789.0,9307.0,44151.0,9020.0,1278.0,2892.0,2920.0,130409.0,408306.0,13206.0,1664.0,3023.0,3732.0,1.0,6,2
66,66,1399_07,2354.0,2313.0,89.0,401.0,1901.0,4791.0,740.0,2714.0,1337.0,8824.0,9307.0,44151.0,9020.0,1278.0,2892.0,2920.0,130409.0,408306.0,13206.0,1664.0,3023.0,3732.0,1.0,7,3
67,67,1399_08,1396.0,2313.0,89.0,401.0,1901.0,4791.0,740.0,2714.0,1337.0,8896.0,9307.0,44151.0,9020.0,1278.0,2892.0,2920.0,130409.0,408306.0,13206.0,1664.0,3023.0,3732.0,1.0,8,3
68,68,1399_09,1403.0,2313.0,89.0,401.0,1901.0,4791.0,740.0,2714.0,1337.0,8938.0,9307.0,44151.0,9020.0,1278.0,2892.0,2920.0,130409.0,408306.0,13206.0,1664.0,3023.0,3732.0,1.0,9,3
69,69,1399_10,2138.0,2313.0,89.0,401.0,1901.0,4791.0,740.0,2714.0,1337.0,9089.0,9307.0,44151.0,9020.0,1278.0,2892.0,2920.0,130409.0,408306.0,13206.0,1664.0,3023.0,3732.0,1.0,10,4
70,70,1399_11,2297.0,2313.0,89.0,401.0,1901.0,4791.0,740.0,2714.0,1337.0,9112.0,9307.0,44151.0,9020.0,1278.0,2892.0,2920.0,130409.0,408306.0,13206.0,1664.0,3023.0,3732.0,0.5,11,4
