,City,random,Missing Rate,RMSE,MAE,R2
206,SiouxFalls,40,90,0.08809272765354868,0.06862794612794612,0.6905026195320448
207,SiouxFalls,40,95,0.14120688694477657,0.11806547619047617,0.6108769576490927
208,SiouxFalls,40,97,0.16182330366543443,0.14008620689655168,0.3464556414219472
209,SiouxFalls,50,10,0.05340366402688845,0.038804713804713765,0.7034273209549078
210,SiouxFalls,50,20,0.05576695888878741,0.042466329966329965,0.736889191943412
211,SiouxFalls,50,30,0.04826526586682168,0.03832491582491584,0.80333912549348
212,SiouxFalls,50,40,0.05021414960272108,0.0363973063973064,0.733114699265037
213,SiouxFalls,50,50,0.08010750209339755,0.05472222222222218,0.6871755491848585
214,SiouxFalls,50,60,0.06916918357574449,0.05394781144781142,0.7808089235863147
215,SiouxFalls,50,70,0.0791757159778943,0.054208754208754234,0.5767997321343152
216,SiouxFalls,50,80,0.06898664991535847,0.05260101010101006,0.8282760929590429
217,SiouxFalls,50,90,0.1111275230934663,0.09141666666666666,0.4559094092316992
218,SiouxFalls,50,95,0.29241022749763446,0.16592532467532456,0.2964500910746819
219,SiouxFalls,50,97,0.2645544529674266,0.19389452332657187,0.45394290254237357
220,Chicago_Sketch,0,10,0.006559556765998206,0.002038255809921023,0.49974028678360705
221,Chicago_Sketch,0,20,0.011108612407046786,0.0023281215330818662,0.4726061760753515
222,Chicago_Sketch,0,30,0.008405706721894876,0.0021593508690151485,0.3878258316475711
223,Chicago_Sketch,0,40,0.007429436625373262,0.002137014970337138,0.4415092579722293
224,Chicago_Sketch,0,50,0.012621293679862089,0.0035508965729374262,0.4767724674583097
225,Chicago_Sketch,0,60,0.01308623955396984,0.00353006776134192,0.48333926501389035
226,Chicago_Sketch,0,70,0.012724125054054607,0.0036068662223295686,0.4583128362385308
227,Chicago_Sketch,0,80,0.02893510567408687,0.0077558270689241865,0.3118503476230441
228,Chicago_Sketch,0,90,0.044156616389091574,0.010810098251423277,0.4056287971273259
229,Chicago_Sketch,0,95,0.04987136711190064,0.011554435869497979,0.3143648273920264
230,Chicago_Sketch,0,97,0.11607345387803768,0.01744954549179013,0.1790624485506298
231,Chicago_Sketch,5,10,0.008139487397054479,0.0018668146016226057,0.567551162552322
232,Chicago_Sketch,5,20,0.007490360296250586,0.0020935398415612245,0.4899973875027247
233,Chicago_Sketch,5,30,0.007048028721919462,0.002125546863797433,0.4778501839826671
234,Chicago_Sketch,5,40,0.007515415549806652,0.0022079420859895836,0.4658691071811002
235,Chicago_Sketch,5,50,0.008299403301463266,0.002334977794228704,0.4878548686677413
236,Chicago_Sketch,5,60,0.011471224407246709,0.0036060051844965923,0.48744980095050894
237,Chicago_Sketch,5,70,0.014980349584719398,0.003735306693496259,0.37316213597450665
238,Chicago_Sketch,5,80,0.011032654570251876,0.003498823675150048,0.38585192613619423
239,Chicago_Sketch,5,90,0.012411113105872085,0.0037250686027113216,0.3714820602566248
240,Chicago_Sketch,5,95,0.021243666332801617,0.007021494455206945,0.3473508446227097
241,Chicago_Sketch,5,97,0.022746601690339024,0.007495665769749743,0.3469768045101359
242,Chicago_Sketch,10,10,0.006968033464170893,0.0020592504024664667,0.45229535863371206
243,Chicago_Sketch,10,20,0.006862608357581438,0.002114211284193713,0.4883087889458734
244,Chicago_Sketch,10,30,0.007151826931608915,0.0020521112238625306,0.49782251862954796
245,Chicago_Sketch,10,40,0.007095543133224756,0.0020851794835795604,0.48284749459747167
246,Chicago_Sketch,10,50,0.006544543908561437,0.0020340106257910207,0.5726149966057474
247,Chicago_Sketch,10,60,0.008308632603762977,0.0021618796074665257,0.22232322335585264
248,Chicago_Sketch,10,70,0.012886986808770486,0.0033733337163159307,0.28021412659391254
249,Chicago_Sketch,10,80,0.010806904095849768,0.0034600739972651035,0.4907057997283587
250,Chicago_Sketch,10,90,0.04266742165945324,0.008773732369449406,0.3215004443984313
251,Chicago_Sketch,10,95,0.035112733575691016,0.009698586800312745,0.4027520121575363
252,Chicago_Sketch,10,97,0.03396959831456164,0.009960118141381884,0.42979986281650817
253,Chicago_Sketch,15,10,0.008550089122231801,0.0020985878267044413,0.4132351896553149
254,Chicago_Sketch,15,20,0.012867510572191484,0.003506608347701912,0.4997713769572596
255,Chicago_Sketch,15,30,0.011766564449701578,0.003264868866628093,0.3827679671870542
256,Chicago_Sketch,15,40,0.010966879226441191,0.0032470918532747587,0.43218933489803724
257,Chicago_Sketch,15,50,0.014528373710381404,0.003784960037772821,0.26916291634691747
258,Chicago_Sketch,15,60,0.014229722479044039,0.003846530738202892,0.3153622035822228
259,Chicago_Sketch,15,70,0.01039122849397035,0.003324064400801562,0.48669945855930985
260,Chicago_Sketch,15,80,0.023793341432979516,0.0068547090607839695,0.3046835215999245
261,Chicago_Sketch,15,90,0.08669237888639938,0.013766851410842315,0.24276197399833932
262,Chicago_Sketch,15,95,0.08647068598256118,0.014718527893824778,0.15804448274077498
263,Chicago_Sketch,15,97,0.04776403822798612,0.0149384054594694,0.31585502761635087
264,Chicago_Sketch,20,10,0.00808897461782967,0.0021453093884819113,0.43429220087882314
265,Chicago_Sketch,20,20,0.00723782116177236,0.002054800564247929,0.392952798368962
266,Chicago_Sketch,20,30,0.0067001134233631845,0.0020831864184754005,0.3522905126571848
267,Chicago_Sketch,20,40,0.006186025399014288,0.001973993714984368,0.6395345472766403
